,Address,Beds,Phone,Price,Title
0,"7205-7295 Charmant Dr, San Diego, CA 92122",1-2 Bed,888-897-0391,"$2,099 - 2,810",Avalon La Jolla Colony
1,"1399 Ninth Ave, San Diego, CA 92101",Studio - 2 Bed,888-708-4632,"$1,580 - 2,555",AVA Cortez Hill
2,"3883 Ingraham St, San Diego, CA 92109",Studio - 2 Bed,866-766-7943,"$1,600 - 3,010",AVA Pacific Beach
3,"10024 Paseo Montril, San Diego, CA 92129",1-2 Bed,844-742-2257,"$1,715 - 2,285",eaves Rancho Penasquitos
4,"1281 9th Ave, San Diego, CA 92101",1-2 Bed,619-894-8653,"$1,890 - 3,485",Vantage Pointe
5,"1551 Union St, San Diego, CA 92101",Studio - 2 Bed,844-310-6597,"$2,448 - 12,503",Current
6,"969-969 Market St, San Diego, CA 92101",1-3 Bed,844-597-8381,"$2,644 - 6,892",Strata
7,"1330 Market St, San Diego, CA 92101",Studio - 2 Bed,844-216-7244,"$1,913 - 4,966",13th & Market
8,"100 Park Plz, San Diego, CA 92101",Studio - 3 Bed,949-386-8642,"$1,973 - 20,000",Park 12
9,"8583 Aero Dr, San Diego, CA 92123",1-2 Bed,844-587-6752,"$2,125 - 3,472",Olympus Corsair
10,"1501 Island Ave, San Diego, CA 92101",Studio - 2 Bed,844-628-6535,"$2,010 - 6,180",Shift
11,"812 Park Blvd, San Diego, CA 92101",Studio - 2 Bed,844-615-3303,"$1,849 - 3,424",F11
12,"895 Park Blvd, San Diego, CA 92101",Studio - 2 Bed,844-372-7660,"$1,925 - 5,145",IDEA1
13,"453 13th St, San Diego, CA 92101",Studio - 3 Bed,844-263-1400,"$1,480 - 3,074",Entrada
14,"424 15th St, San Diego, CA 92101",1-3 Bed,844-791-2493,"$1,700 - 10,000",Pinnacle on The Park
15,"6304 Rancho Mission Rd, San Diego, CA 92108",1-2 Bed,844-873-6008,"$1,760 - 2,060",Prado Apartments
16,"6363 Beadnell Way, San Diego, CA 92117",1-2 Bed,844-220-7316,"$1,765 - 2,130",Barclay Square
17,"3454 Ruffin Rd, San Diego, CA 92123",1-2 Bed,844-460-0665,"$1,630 - 1,995",Village Glen
18,"3845 Nobel Dr, San Diego, CA 92122",Studio - 2 Bed,888-558-7934,"$1,670 - 2,685",La Scala Apartments
19,"5305-5305 Toscana Way, San Diego, CA 92122",1-3 Bed,844-360-6531,"$2,210 - 8,408",Valentia
20,"8725 Ariva Ct, San Diego, CA 92123",Studio - 3 Bed,844-781-5203,"$1,910 - 3,757",Vive on the Park
21,"4223 Texas St, San Diego, CA 92104",Studio - 2 Bed,949-245-6587,"$2,075 - 4,425",Broadstone North Park
22,"1601 Broadway, San Diego, CA 92101",Studio - 2 Bed,619-817-8362,"$2,149 - 5,205",Broadstone Maker's Quarter
23,"1100 Dennery Rd, San Diego, CA 92154",1-3 Bed,866-239-7071,"$1,770 - 3,161",Casoleil
24,"6575 Jaffe Ct, San Diego, CA 92119",Studio - 2 Bed,888-262-7048,"$1,453 - 2,503",Navajo Bluffs
25,"13385 Highlands Pl, San Diego, CA 92130",1-3 Bed,844-583-5041,"$2,425 - 4,350",Sola
26,"3455 Kearny Villa Rd, San Diego, CA 92123",1-3 Bed,844-698-0185,"$1,955 - 3,750",Mira Bella Apartments
27,"5080 Camino Del Arroyo, San Diego, CA 92108",Studio - 2 Bed,844-500-7713,"$1,860 - 4,430",Millennium Mission Valley
28,"4440 Twain Ave, San Diego, CA 92120",Studio - 3 Bed,713-742-2165,"$1,793 - 4,972",Hanover Mission Gorge
29,"1907 Columbia St, San Diego, CA 92101",1-2 Bed,844-283-6750,"$2,250 - 4,500",Elan Luxo II
30,"300 14th St, San Diego, CA 92101",Studio - 2 Bed,844-417-6418,"$1,950 - 12,680",Alexan ALX
