,Address,Beds,Phone,Price,Title
0,"5550 Hollywood Blvd, Los Angeles, CA 90028",Studio - 3 Bed,855-547-1454,"$2,445 - 4,560",The 5550
1,"1331 W 7th St, Los Angeles, CA 90017",Studio - 3 Bed,844-748-4539,"$2,260 - 6,280",Seven West Apartments
2,"8601 Lincoln Blvd, Los Angeles, CA 90045",Studio - 3 Bed,844-845-3312,"$2,395 - 5,685",Playa Del Oro
3,"738 Wilcox Ave, Los Angeles, CA 90038",Studio - 2 Bed,844-868-0335,"$2,480 - 5,625",Broadstone Candara at Hancock Park
4,"1300 S Figueroa St, Los Angeles, CA 90015",Studio - 3 Bed,844-790-8918,"$2,798 - 3,857",City Lights on Fig
5,"630 S Masselin Ave, Los Angeles, CA 90036",Studio - 2 Bed,844-868-2356,"$2,289 - 7,869",The Preston Miracle Mile Apartments
6,"3183 Wilshire Blvd, Los Angeles, CA 90010",Studio - 2 Bed,213-985-0676,"$1,888 - 3,072",Wilshire Vermont
7,"5901-5921 Center Dr, Los Angeles, CA 90045",1-2 Bed,214-206-9498,"$2,703 - 4,390",Modera West LA
8,"1221 W 3rd St, Los Angeles, CA 90017",Studio - 2 Bed,844-821-6231,"$1,899 - 4,274",The Visconti
9,"1026 S Broadway, Los Angeles, CA 90015",Studio - 2 Bed,844-838-0810,"$2,035 - 4,491",Broadway Palace
10,"550 N Figueroa St, Los Angeles, CA 90012",Studio - 2 Bed,213-784-4738,"$1,825 - 3,350",The Orsini
11,"609 St Paul Ave, Los Angeles, CA 90017",Studio - 2 Bed,844-810-5513,"$1,875 - 4,744",The Piero
12,"725 S Bixel St, Los Angeles, CA 90017",Studio - 3 Bed,213-599-7250,"$1,875 - 4,999",The Medici
13,"909 W Temple St, Los Angeles, CA 90012",Studio - 3 Bed,844-730-8917,"$1,999 - 4,199",Da Vinci
14,"6040 Center Dr, Los Angeles, CA 90045",Studio - 2 Bed,424-732-7536,"$2,384 - 4,013",Altitude
15,"235 S San Pedro St, Los Angeles, CA 90012",Studio - 2 Bed,877-460-3704,"$2,068 - 3,058",Sakura Crossing
16,"501 S New Hampshire Ave, Los Angeles, CA 90020",Studio - 2 Bed,877-592-9825,"$1,776 - 2,783",Hampshire Place
17,"6245 Wilshire Blvd, Los Angeles, CA 90048",Studio - 3 Bed,844-232-6118,"$3,126 - 12,784",Vision on Wilshire
18,"717 W Olympic Blvd, Los Angeles, CA 90015",1-2 Bed,844-881-5260,"$3,020 - 14,192",717 Olympic
19,"3033 Wilshire Blvd, Los Angeles, CA 90010",Studio - 2 Bed,844-666-0615,"$2,248 - 28,489",3033 Wilshire
20,"1213-1237 S Olive St, Los Angeles, CA 90015",Studio - 2 Bed,844-757-9558,"$2,217 - 7,898",OLiVE DTLA
21,"1200 S Figueroa St, Los Angeles, CA 90015",1-3 Bed,949-431-2886,"$2,945 - 24,390",Circa LA
22,"7045-7051 Lanewood Ave, Los Angeles, CA 90028",Studio - 2 Bed,844-393-0756,"$1,975 - 3,304",The Pines
23,"550 S Main St, Los Angeles, CA 90013",Studio - 3 Bed,424-320-5291,"$1,789 - 4,619",Topaz
24,"620 S Virgil Ave, Los Angeles, CA 90005",Studio - 2 Bed,323-800-5550,"$2,000 - 3,873",Next on Sixth
25,"424 W Pico Blvd, Los Angeles, CA 90015",Studio - 3 Bed,949-264-8110,"$1,779 - 4,539",Onyx DTLA
26,"1200 S Broadway, Los Angeles, CA 90015",Studio - 2 Bed,844-633-4135,"$2,017 - 3,992",AXIS
27,"705 W 9th St, Los Angeles, CA 90015",1-3 Bed,866-974-8610,"$3,050 - 15,184",Watermarke Tower
28,"1540 N Vine St, Los Angeles, CA 90028",Studio - 2 Bed,877-365-6685,"$2,149 - 4,649",The Camden
29,"1550 N El Centro Ave, Los Angeles, CA 90028",1-2 Bed,323-380-1421,"$3,500 - 6,500",Hollywood Proper Residences
30,"6138 Franklin Ave, Los Angeles, CA 90028",Studio - 2 Bed,844-341-3986,"$2,241 - 4,322",La Belle At Hollywood Tower
31,"123 S Figueroa St, Los Angeles, CA 90012",Studio - 2 Bed,855-540-8832,"$1,242 - 3,373",Promenade Towers
32,"255 S Grand Ave, Los Angeles, CA 90012",Studio - 2 Bed,888-708-8794,"$1,833 - 6,932",255 Grand
33,"727 W 7th St, Los Angeles, CA 90017",Studio - 3 Bed,844-850-7472,"$2,390 - 8,500",Roosevelt Lofts
34,"225 S Olive St, Los Angeles, CA 90012",Studio - 2 Bed,844-295-8164,"$1,853 - 7,202",Museum Tower
35,"6200 W 3rd St, Los Angeles, CA 90036",Studio - 3 Bed,844-831-1452,"$1,892 - 3,805",Park La Brea
36,"4121 Wilshire Blvd, Los Angeles, CA 90010",1-4 Bed,323-746-9097,"$3,300 - 23,500",Los Altos Apartments
37,"901 S Broadway, Los Angeles, CA 90015",Studio - 2 Bed,844-269-3940,"$2,100 - 3,500",Blackstone Luxury Apartments
38,"14500 Sherman Cir, Los Angeles, CA 91405",1-3 Bed,844-877-1664,"$2,024 - 3,258",IMT Sherman Circle
39,"6220 W 3rd St, Los Angeles, CA 90036",1-3 Bed,844-523-5081,"$2,640 - 16,719",Palazzo West at The Grove
40,"5555 W 6th St, Los Angeles, CA 90036",1-2 Bed,323-594-8178,"$2,655 - 5,656",Villas at Park La Brea Apartments
41,"7660 Beverly Blvd, Los Angeles, CA 90036",1-2 Bed,844-750-9852,"$2,480 - 5,903",Broadcast Center Apartments
42,"348 S Hauser Blvd, Los Angeles, CA 90036",1-3 Bed,844-807-8617,"$2,510 - 10,726",Palazzo East
43,"850 Crenshaw Blvd, Los Angeles, CA 90005",2-3 Bed,855-783-1650,"$3,650 - 4,740",Windsor Square Villas
44,"6201 Hollywood Blvd, Los Angeles, CA 90028",Studio - 2 Bed,844-287-7735,"$2,075 - 4,310",Eastown
45,"888 S Hope St, Los Angeles, CA 90017",Studio - 2 Bed,844-429-7535,"$2,180 - 12,555",888 at Grand Hope Park
46,"750 S Garland Ave, Los Angeles, CA 90017",Studio,866-747-6312,"$1,600 - 2,400",The Flat
47,"687 S Hobart Blvd, Los Angeles, CA 90005",Studio - 2 Bed,844-781-2007,"$1,909 - 3,875",The Pearl
48,"1745 N Wilcox Ave, Los Angeles, CA 90028",Studio - 2 Bed,323-856-1781,"$1,785 - 4,400",Duet on Wilcox
49,"5100 Wilshire Blvd, Los Angeles, CA 90036",Studio - 3 Bed,844-486-8286,"$2,450 - 10,000",THE MANSFIELD
50,"5550 Grosvenor Blvd, Los Angeles, CA 90066",1-3 Bed,844-661-2881,"$2,769 - 7,204",Accent
51,"1200 S Grand Ave, Los Angeles, CA 90015",Studio - 2 Bed,844-853-6528,"$2,143 - 7,607",G12
52,"232 E 2nd St, Los Angeles, CA 90012",Studio - 2 Bed,844-577-3561,"$2,045 - 4,242",Wakaba LA
53,"1040 Glendon Ave, Los Angeles, CA 90024",1-3 Bed,424-269-6016,"$3,450 - 8,316",The Glendon
54,"950 S Fairfax Ave, Los Angeles, CA 90036",Studio - 2 Bed,844-381-2547,"$2,600 - 7,000",Vinz on Fairfax
55,"639 N Fairfax Ave, Los Angeles, CA 90036",Studio - 2 Bed,844-220-2137,"$2,695 - 6,520",nVe Fairfax
