,Address,Beds,Phone,Price,Title
0,"301 Jeanette Ln, Santa Ana, CA 92705",1-2 Bed,844-590-4743,"$1,975 - 3,456",PRISMA
1,"2555 Main St, Irvine, CA 92614",1-3 Bed,866-677-9398,"$1,984 - 11,401",Main Street Village
2,"580 Anton Blvd, Costa Mesa, CA 92626",Studio - 2 Bed,949-407-7071,"$2,021 - 4,346",580 Anton
3,"951 S Beach Blvd, La Habra, CA 90631",1-3 Bed,858-381-0824,"$1,966 - 3,873",Valentia Apartment Homes
4,"1100 Synergy, Irvine, CA 92614",Studio - 3 Bed,949-416-2737,"$2,050 - 4,141",Rize Irvine Apartments
5,"26033 Cape Dr, Laguna Niguel, CA 92677",Studio - 3 Bed,844-821-4033,"$1,990 - 4,563",Broadstone Cavora
6,"1781 S Campton Ave, Anaheim, CA 92805",Studio - 3 Bed,844-481-2712,"$1,920 - 3,935",Jefferson Platinum Triangle
7,"17321 Murphy Ave, Irvine, CA 92614",Studio - 2 Bed,844-329-3989,"$2,215 - 3,625",Fusion
8,"18880 Douglas, Irvine, CA 92612",2-3 Bed,844-891-0119,"$2,760 - 3,775",Carlyle
9,"22751 EL PRADO, Rancho Santa Margarita, CA 92688",1-2 Bed,949-243-7609,"$1,745 - 2,361",Avila at Rancho Santa Margarita Apartments
10,"421 Bernard St, Costa Mesa, CA 92627",1-3 Bed,714-656-2900,"$2,090 - 5,468",Blue Sol
11,"28032-28032 Marguerite Pky, Mission Viejo, CA 92692",Studio - 2 Bed,844-845-1821,"$1,670 - 2,420",ReNew at the Shops
12,"8201 E Blackwillow Cir, Anaheim Hills, CA 92808",1-2 Bed,877-428-3985,"$1,765 - 2,560",Sycamore Canyon Apartment Homes
13,"240 Avenida Vista Montana, San Clemente, CA 92672",1-2 Bed,844-335-4026,"$1,770 - 2,255",Seacrest Apartment Homes
14,"26571 Normandale Dr, Lake Forest, CA 92630",Studio - 2 Bed,844-306-6942,"$1,580 - 2,210",Westridge Apartment Homes
15,"22482 Alma Aldea, Rancho Santa Margarita, CA 92688",1-3 Bed,844-889-7072,"$1,695 - 2,150",Villas Antonio Apartment Homes
16,"650 Tamarack Ave, Brea, CA 92821",1-2 Bed,866-763-3945,"$1,505 - 1,980",Raintree Apartment Homes
17,"27444 Camden, Mission Viejo, CA 92692",Studio - 2 Bed,844-889-4159,"$1,635 - 2,080",Mosaic Apartment Homes
18,"114 Aliento, Rancho Santa Margarita, CA 92688",Studio - 2 Bed,844-821-3192,"$1,670 - 1,715",Villas Aliento Apartment Homes
19,"1-2 Via Amistosa, Rancho Santa Margarita, CA 92688",1-2 Bed,866-906-3258,"$1,495 - 2,010",Villa La Paz Apartment Homes
20,"92 Esencia Dr, Ladera Ranch, CA 92694",1-3 Bed,844-578-7476,"$2,324 - 2,651",Esencia Sur Apartment Homes
21,"16931 Millikan Ave, Irvine, CA 92606",Studio - 2 Bed,844-202-9642,"$1,930 - 3,010",The Alton
22,"35 Via Lucca, Irvine, CA 92612",Studio - 2 Bed,844-404-1987,"$1,885 - 2,725",Toscana
23,"130 E Chapman Ave, Fullerton, CA 92832",1-2 Bed,844-282-6357,"$1,960 - 2,850",City Pointe
24,"2850 Kelvin Ave, Irvine, CA 92614",1-2 Bed,866-588-2054,"$2,005 - 3,215",The Kelvin
25,"21034 Pacific Coast Hwy, Huntington Beach, CA 92648",1-3 Bed,844-215-9686,"$2,624 - 16,145",The Residences at Pacific City
26,"19891-19895 Beach Blvd, Huntington Beach, CA 92648",Studio - 2 Bed,844-899-0089,"$1,899 - 3,305",Beach & Ocean
27,"501 E Katella Ave, Orange, CA 92867",2 Bed,844-310-6850,"$2,194 - 3,802",Foxborough
28,"880 Irvine Ave, Newport Beach, CA 92663",Studio - 2 Bed,844-561-2871,"$1,502 - 3,642",Eight 80 Newport Beach
29,"2775 Mesa Verde Dr E, Costa Mesa, CA 92626",Studio - 3 Bed,844-567-5339,"$1,689 - 5,988",27 Seventy Five Mesa Verde
30,"7521 Edinger Ave, Huntington Beach, CA 92647",Studio - 3 Bed,844-213-8410,"$2,045 - 4,660",The Residences at Bella Terra
31,"2700 Peterson Pl, Costa Mesa, CA 92626",Studio - 3 Bed,844-734-2314,"$1,527 - 4,379",Harbor at Mesa Verde
32,"1105 E Katella Ave, Anaheim, CA 92805",Studio - 2 Bed,844-307-0195,"$1,812 - 2,728",Parallel
33,"2801 Kelvin Ave, Irvine, CA 92614",Studio - 3 Bed,844-488-8619,"$1,874 - 6,331",The Residences on Jamboree
34,"1815 S Westside Dr, Anaheim, CA 92805",Studio - 2 Bed,657-230-2518,"$2,039 - 3,800",Core
35,"3099 W Chapman Ave, Orange, CA 92868",Studio - 2 Bed,714-202-0311,"$1,789 - 2,987",Allure
36,"1942 Deerpark Dr, Fullerton, CA 92831",Studio - 2 Bed,844-712-7200,"$1,515 - 2,280",The Homestead
37,"30824 La Miranda Ln, Rancho Santa Margarita, CA 92688",1-2 Bed,949-416-2730,"$1,760 - 2,839",Buena Vida 55+
38,"7290 Edinger Ave, Huntington Beach, CA 92647",Studio - 3 Bed,844-892-8445,"$1,920 - 4,070",Luce
39,"4 Austin, Irvine, CA 92604",1-3 Bed,844-318-8168,"$1,715 - 2,710",Heritage Point
40,"1000 S Coast Dr, Costa Mesa, CA 92626",1-3 Bed,844-266-6725,"$1,775 - 2,750",The Cape
41,"2201-2211 E Orangewood Ave, Anaheim, CA 92806",Studio - 3 Bed,714-515-8073,"$2,030 - 4,050",The George
42,"420 La Crescenta Dr, Brea, CA 92823",1-3 Bed,713-401-3226,"$2,165 - 4,450",Pearl La Floresta
43,"345 W 1st St, Tustin, CA 92780",Studio - 2 Bed,844-517-2323,"$1,795 - 2,250",Villa Viento Apartments
44,"18504 Beach Blvd, Huntington Beach, CA 92648",Studio - 2 Bed,844-865-0609,"$2,001 - 3,164",Elan Huntington Beach
45,"160 W Center St, Anaheim, CA 92805",Studio - 2 Bed,888-343-5248,"$1,680 - 4,223",The Mix at CTR City
46,"150 S Magnolia Ave, Anaheim, CA 92804",1-2 Bed,657-214-5816,"$1,550 - 2,235",Arbors At Magnolia
47,"7795 Neptune Dr, Huntington Beach, CA 92648",2-4 Bed,844-286-3671,"$2,880 - 3,700",Surfside Villas
48,"100 E MacArthur Blvd, Santa Ana, CA 92707",1-3 Bed,877-633-8819,"$1,908 - 3,962",The Marke
49,"1 Park Newport, Newport Beach, CA 92660",Studio - 3 Bed,949-467-9152,"$1,750 - 4,150",Park Newport
50,"2960-2965 E Jackson Ave, Anaheim, CA 92806",1-2 Bed,844-865-2720,"$1,700 - 2,275",The Jackson
51,"2656 Associated Rd, Fullerton, CA 92835",1-2 Bed,888-525-0496,"$1,640 - 2,175",Uptown Fullerton
52,"2045 S Haster St, Anaheim, CA 92802",1-3 Bed,844-867-0166,"$1,675 - 2,425",Pacific Palms
53,"811 S Fairview St, Santa Ana, CA 92704",1-2 Bed,844-544-7156,"$1,495 - 2,090",Villa Del Sol
54,"300-301 W 2nd St, Santa Ana, CA 92701",1-2 Bed,844-871-8297,"$1,645 - 2,165",Artists Village
55,"1331 E Katella Ave, Anaheim, CA 92805",Studio - 2 Bed,844-578-5475,"$1,865 - 3,370",Vivere Lofts
56,"1725 S Auburn Way, Anaheim, CA 92805",Studio - 2 Bed,714-656-4912,"$1,790 - 2,710",Vivere Flats
57,"2100 E Katella Ave, Anaheim, CA 92806",1-3 Bed,844-231-3634,"$2,200 - 3,320",Stadium House Apartments
58,"201 S Magnolia Ave, Anaheim, CA 92804",1-3 Bed,844-377-9173,"$1,525 - 2,490",Villa Serrano
59,"3400 Avenue of the Arts, Costa Mesa, CA 92626",Studio - 2 Bed,562-315-7690,"$1,722 - 8,932",3400 Avenue of the Arts Apartments
60,"299 N State College Blvd, Orange, CA 92868",Studio - 2 Bed,844-277-0851,"$1,750 - 5,015",Gateway Apartment Homes
61,"100 Vilaggio, Newport Beach, CA 92660",Studio - 3 Bed,844-824-9592,"$2,085 - 7,145",Newport Bluffs Apartment Village
62,"381 Sable, Rancho Santa Margarita, CA 92688",1-2 Bed,844-882-0178,"$1,830 - 3,695",Las Flores Apartment Homes
63,"7725 Gateway Pky, Irvine, CA 92618",Studio - 2 Bed,844-387-6176,"$2,000 - 5,060",Centerpointe Apartment Homes
64,"25 Palatine Rd, Irvine, CA 92612",Studio - 3 Bed,844-824-2564,"$1,805 - 4,830",Villa Siena Apartment Homes
65,"100 Grand Canal, Irvine, CA 92620",1-2 Bed,844-561-2869,"$1,820 - 4,930",Cypress Village Apartment Homes
66,"100 Simplicity, Irvine, CA 92620",1-2 Bed,844-889-4150,"$1,790 - 4,545",Woodbury Apartment Homes
67,"5000 Capobella, Aliso Viejo, CA 92656",1-2 Bed,844-630-3826,"$1,800 - 3,740",Vista Bella Apartment Homes
68,"3395 Michelson Dr, Irvine, CA 92612",Studio - 2 Bed,866-696-0796,"$1,820 - 4,900",Park Place Apartment Homes
69,"100 Ambazar, Irvine, CA 92614",1-2 Bed,844-517-2404,"$1,945 - 3,725",Villa Coronado Apartment Homes
70,"350 Gitano, Irvine, CA 92618",1-2 Bed,844-765-8485,"$1,955 - 5,435",Los Olivos Apartment Homes
71,"1000 San Joaquin Plz, Newport Beach, CA 92660",1-3 Bed,844-525-0203,"$3,655 - 8,385",Villas Fashion Island
