,Address,Beds,Phone,Price,Title
0,"6304 Rancho Mission Rd, San Diego, CA 92108",1-2 Bed,844-873-6008,"$1,760 - 2,040",Prado Apartments
1,"6363 Beadnell Way, San Diego, CA 92117",1-2 Bed,844-220-7316,"$1,765 - 2,135",Barclay Square
2,"3454 Ruffin Rd, San Diego, CA 92123",1-2 Bed,844-460-0665,"$1,630 - 2,000",Village Glen
3,"3625 Earnscliff Pl, San Diego, CA 92111",1-2 Bed,844-849-4236,"$1,600 - 2,050",Genesee Park ** MOVE IN SPECIALS **
4,"1281 9th Ave, San Diego, CA 92101",1-2 Bed,619-894-8653,"$1,970 - 3,490",Vantage Pointe
5,"1551 Union St, San Diego, CA 92101",Studio - 2 Bed,844-310-6597,"$2,448 - 12,793",Current
6,"969-969 Market St, San Diego, CA 92101",1-3 Bed,844-597-8381,"$2,644 - 6,892",Strata
7,"1330 Market St, San Diego, CA 92101",Studio - 2 Bed,844-216-7244,"$1,913 - 4,966",13th & Market
8,"1007 5th Ave, San Diego, CA 92101",Studio - 1 Bed,888-406-9535,"$2,102 - 6,860",Broadway Lofts
9,"4392 W Point Loma Blvd, San Diego, CA 92107",1-3 Bed,619-798-7891,"$1,733 - 3,595",Mariners Cove Apartments
10,"11100 Vista Sorrento Pkwy, San Diego, CA 92130",1-3 Bed,844-414-0026,"$2,300 - 6,070",Torrey Villas Apartment Homes
11,"6555 Ambrosia Dr, San Diego, CA 92124",1-3 Bed,619-659-7086,"$1,955 - 6,135",The Village Mission Valley
12,"5945 Linda Vista Rd, San Diego, CA 92110",Studio - 3 Bed,619-592-7660,"$2,060 - 4,815",Pacific Ridge
13,"5280 Fiore Ter, San Diego, CA 92122",Studio - 3 Bed,866-986-4768,"$1,975 - 6,770",The Villas of Renaissance
14,"5305-5305 Toscana Way, San Diego, CA 92122",1-3 Bed,844-360-6531,"$2,210 - 6,912",Valentia
15,"8725 Ariva Ct, San Diego, CA 92123",Studio - 3 Bed,844-781-5203,"$1,910 - 3,757",Vive on the Park
16,"4223 Texas St, San Diego, CA 92104",Studio - 2 Bed,949-245-6587,"$2,075 - 4,425",Broadstone North Park
17,"1601 Broadway, San Diego, CA 92101",Studio - 2 Bed,619-817-8362,"$2,149 - 5,205",Broadstone Maker's Quarter
18,"1100 Dennery Rd, San Diego, CA 92154",1-3 Bed,866-239-7071,"$1,770 - 3,243",Casoleil
19,"6575 Jaffe Ct, San Diego, CA 92119",Studio - 2 Bed,888-262-7048,"$1,453 - 2,503",Navajo Bluffs
20,"13385 Highlands Pl, San Diego, CA 92130",1-3 Bed,844-583-5041,"$2,425 - 4,350",Sola
21,"3455 Kearny Villa Rd, San Diego, CA 92123",1-3 Bed,844-698-0185,"$1,955 - 3,750",Mira Bella Apartments
22,"100 Park Plz, San Diego, CA 92101",Studio - 3 Bed,949-386-8642,"$2,051 - 20,000",Park 12
23,"1501 Island Ave, San Diego, CA 92101",Studio - 2 Bed,844-628-6535,"$2,010 - 6,180",Shift
24,"8583 Aero Dr, San Diego, CA 92123",1-2 Bed,844-587-6752,"$2,039 - 3,472",Olympus Corsair
25,"812 Park Blvd, San Diego, CA 92101",Studio - 2 Bed,844-615-3303,"$1,849 - 3,424",F11
26,"895 Park Blvd, San Diego, CA 92101",Studio - 2 Bed,844-372-7660,"$1,925 - 5,145",IDEA1
27,"424 15th St, San Diego, CA 92101",1-3 Bed,844-791-2493,"$1,700 - 10,000",Pinnacle on The Park
28,"453 13th St, San Diego, CA 92101",Studio - 3 Bed,844-263-1400,"$1,480 - 3,074",Entrada
29,"11203 Paseo Montanoso, San Diego, CA 92127",1-2 Bed,888-299-4136,"$1,852 - 2,991",The Villas at Camino Bernardo
30,"5080 Camino Del Arroyo, San Diego, CA 92108",Studio - 2 Bed,844-500-7713,"$1,875 - 4,430",Millennium Mission Valley
31,"4440 Twain Ave, San Diego, CA 92120",Studio - 3 Bed,713-742-2165,"$1,793 - 4,972",Hanover Mission Gorge
32,"1907 Columbia St, San Diego, CA 92101",1-2 Bed,844-283-6750,"$2,250 - 4,500",Elan Luxo II
33,"300 14th St, San Diego, CA 92101",Studio - 2 Bed,844-417-6418,"$1,950 - 12,680",Alexan ALX
34,"7777 Westside Dr, San Diego, CA 92108",Studio - 3 Bed,844-287-7194,"$1,895 - 4,255",West Park
35,"5395 Napa St, San Diego, CA 92110",1-3 Bed,619-867-0760,"$2,310 - 4,495",Arrive Mission Valley
36,"6850 Mission Gorge Rd, San Diego, CA 92120",1-3 Bed,844-847-4714,"$2,004 - 4,371",Verge
37,"3845 Nobel Dr, San Diego, CA 92122",Studio - 2 Bed,888-558-7934,"$1,670 - 2,685",La Scala Apartments
38,"3417 Lebon Dr, San Diego, CA 92122",1-2 Bed,888-470-2889,"$1,745 - 2,655",La Jolla International Gardens
39,"2015 Hancock St, San Diego, CA 92110",1-2 Bed,844-211-8469,"$1,875 - 2,390",Loft2015
40,"2395 Cardinal Dr, San Diego, CA 92123",1-2 Bed,619-535-3124,"$1,925 - 2,700",Modernaire Luxury Apartments
41,"2101-2175 Kettner Blvd, San Diego, CA 92101",Studio - 3 Bed,858-859-9011,"$2,160 - 4,260",AV8
42,"600 Front St, San Diego, CA 92101",1-2 Bed,866-204-6507,"$1,820 - 3,700",600 Front Street Apartments
43,"1736 State St, San Diego, CA 92101",Studio,619-317-1623,"$1,075 - 1,340",Vantaggio Suites at San Diego
44,"3131 Cauby St, San Diego, CA 92110",1-2 Bed,844-653-1206,"$1,735 - 2,400",Loma Portal Apartments
45,"7205-7295 Charmant Dr, San Diego, CA 92122",1-2 Bed,888-897-0391,"$2,010 - 2,815",Avalon La Jolla Colony
46,"10024 Paseo Montril, San Diego, CA 92129",1-2 Bed,844-742-2257,"$1,705 - 2,265",eaves Rancho Penasquitos
47,"1399 Ninth Ave, San Diego, CA 92101",Studio - 2 Bed,888-708-4632,"$1,640 - 2,590",AVA Cortez Hill
48,"3883 Ingraham St, San Diego, CA 92109",Studio - 2 Bed,866-766-7943,"$1,585 - 3,080",AVA Pacific Beach
49,"8420 Krenz St, San Diego, CA 92123",2-4 Bed,844-600-4824,Call for Rent,The Village at Serra Mesa - Lincoln Military
50,"2225-2295 River Run Dr, San Diego, CA 92108",1-2 Bed,866-567-2337,"$1,793 - 2,306",River Run Village
51,"10878 Poblado Rd, San Diego, CA 92127",1-3 Bed,866-929-5572,"$1,770 - 2,555",La Terraza Apartments
52,"4200 Brooke Ct, San Diego, CA 92122",1-3 Bed,844-873-0394,"$2,840 - 6,890",LUX UTC
53,"9085 Judicial Dr, San Diego, CA 92122",Studio - 3 Bed,877-872-3896,"$1,975 - 4,075",La Jolla Crossroads
54,"9085 Judicial Dr, San Diego, CA 92122",Studio - 3 Bed,844-287-8770,"$2,050 - 4,650",360 Luxury Apartments
